Address Title,Address Code,Address Line 1,City,Postal Code,Destination Address
SKFU,DIGITAL DC BHOPAL,BHOPAL,BHOPAL,464993,TRUE
DIXON,Dixon Technologies,"C-3/1CENTRAL HOPE TOWN INDUSTRIAL AREA SELAQUI Dehradun, Uttaranchal    ",DEHRADUN,247670,TRUE
30108484,DIXON TECHNOLOGIES (INDIA) LIMITED,"Dixon Technologies, , C-3/1CENTRAL HOPE TOWN INDUSTRIAL AREA SELAQUI, Dehradun, Uttaranchal , 248197,",DEHRADUN,248197,TRUE
TUMKUR,DJ Brothers,"INDIA FOOD PARK, Plot No.33. Vasanthanarsapura,  KIADB Industrial Area Phase lll,Kora Hobli, Tumkur taluk, Tumkur District",TUMKUR,572138,TRUE
G-NOIDA,"ECOTECH-11, UDYOG VIHAR","PLOT NO.42(Khasra no6661-662) ECOTECH-11, UDYOG VIHAR, GREATER NOIDA,UP,Gautam Buddha nagar, uttar pradesh-",NOIDA,201306,TRUE
219768432,Elahi Footwear Concepts,"78/A, 125 Feet Road, Torah, Opp Nalanda Estate, Fatehabad Road",AGRA,282003,TRUE
32000828,"F 199, EPIP, SITAPURA, JAIPUR","F 199, EPIP, SITAPURA, JAIPUR (RAJ) INDIA",JAIPUR,302022,TRUE
SAMPAKA,F&L ECOMM SAMPAKA JIT CDC,QWIK SUPPLY CHAIN PRIVATE LIMITED Farukhnagar Gurgaon Village Sampaka,GURGAON,122503,TRUE
FFPP,FABLE FOOD PRODUCTS PRIVATE LIMITED,MEHSANA,MEHSANA,,TRUE
R465,FC GROCERY AHMEDABAD,NA,AHMEDABAD,380004,TRUE
S837,FC VADODARA,"OPP RELIANCE GUJARATI MEDIUM SCHOOL, PETROCHEMICALS TOWNSHIP, REFINERY ROAD  VILLAGE UNDHERA, SECTOR-1 PO PETROCHEMICALS TOWNSHIP, VADODARA",VADODARA,391345,TRUE
FERRO PL,FERRO SONA GARMENTS," PVT. LTD. RAHON ROAD, MANGAT ROAD, VILLAGE- KHAWAJKE, LUDHIANA- ",LUDHIANA,141007,TRUE
F1CG,"FF-KALYAN-SARVODAYA MALL , Reliance Retail Limited","SARVODAYA MALL , KALYAN SHILPHATA ROAD , NEAR PATRI POOL , KALYAN ",KALYAN,421301,TRUE
60400079,FICUS FOOD LAB PRIVATE LIMITED," PLOT NO. 228 BARODA JAMBUSAR HIGHWAY NEAR PADRA,   DABHASA, VADODARA VADODARA, Gujarat ",VADODARA,391440,TRUE
OEE5,Final plot no 21,"Revenue Survey no:530 AHMEDABAD, Gujarat",AHMEDABAD,382427,TRUE
FTFP,Fine Taste Foods Private Limited,"Plot No. 26/A, Ozone Industrial Park, Kerala G.I.D.C., Rajkot National Highway, Bavla, Ahmedabad, Gujarat-382220 (6359630406) Ahmedabad, Gujarat",AHMEDABAD,382220,TRUE
STEELCO,FOOTCARE,"C-32 SITE C UPSIDC INDUSTRIAL AREA, SIKANDRA, AGRA",AGRA,282007,TRUE
SD32,FRAO CDC RANCHI VILLAGE TETRI,"Address- CDC RANCHI VILLAGE TETRI FOOD L, Cdc Ranchi Village Tetri Bb F, Village Tetri  Thana Namkum, Ranchi, Jharkhand",RANCHI,834010,TRUE
AF_EASY__3,"G-40 ( Wing B), Raghuvir Celeum Market, Opp. Sangi","Surat, GJ 395010  ",SURAT,395010,TRUE
222349572,G.M HOSIERY,"G.M HOSIERY, TIRUPATI ESTATE,  292/1 PAIKI, USHA 5727/4, OPP. SWASTIC- BANSIDHAR,  NAROL ,AHMEDABAD, GUJARAT, INDIA",AHMEDABAD,382405,TRUE
220810938,Ganga Sales Corporation,"PLOT NO 107, KH NO 111/17, NEAR RAJENDRA LAKRA SCHOOL,  PHIRNI ROAD, INDUSTRIAL AREA, MUNDKA, NEW DELHI,  INDIA    ",DELHI,110041,TRUE
PL-KHAMBHA,Ghanshyam Rice Mill,"AT- Hariyan  Kanisha hariyan Road TA -Khambhat,",KHAMBHAT,388620,TRUE
KOLHAPUR2,GHODAWAT CONSUMER,"GAT NO 593, 594, 611 & 612 A/P CHIPRI, JAYSINGPUR 416101, 416101, KOLHAPUR Maharashtra",KOLHAPUR,416101,TRUE
KOLHAPUR,GHODAWAT CONSUMER LIMITED,"GHODAWAT CONSUMER LIMITED GAT NO-470/5/6/8, A/P-CHIPRI, TAL-SHIROL DIST-KOLHAPUR(MAHA) Kolhapur,Maharashtra",KOLHAPUR,416101,TRUE
HARIDWAR 2,GINNI FILAMENTS LTD.,"(Consumer Product Division) Plot No.-98, Sector-5, IIE, SIDCUL, HARIDWAR (U.K) ",HARIDWAR,249403,TRUE
Y710,GM DC,"Gate No 5, GIDC Naroda,",AHMEDABAD,382330,TRUE
GNNN,GNNN AMAZON SELLER-Gandhinagar,"Nr.sparsh Divine2,behindbalajivillabungalow,tp 44,chandkheda  Gandhinagar, Gujarat 382424",GANDHINAGAR,382424,TRUE
AF VADOD,"Godown no 3,4 vadodra","Godown no 3,4 vadodra bhiyala 391410",VADODARA,391410,TRUE
GR-INTERNA,GR INTERNATIONAL,"KHASRA NO.1410, MAUJA BAIPUR AGRA-MATHURA ROAD, SIKANDRA ",AGRA,282007,TRUE
R414,GURGAON 2 DRY DC,"Rect-47/Khasra-9/2-10/1-11/2-1-2/12/1-2/,Village Tajnagar Tehsil Farrukhnagar",GURGAON,,TRUE
SL54,GWALIOR,"PLOT NO 72 & 73, GOSPURA INDUSTRIAL AREA, BEHIND CIMMCO STEEL FOUNDRY GOLE KA MANDIR BIRLA NAGAR, GWALIOR",GWALIOR,474004,TRUE
AF_MERHA_4,"H1 Warehouse Sai Dhara Logistics Park, Mumbai Nasi","Mumbai, MH 421302  ",MUMBAI,421302,TRUE
HANUMANGAR,HANUMANGARH,"SB warehousing, Chak 7 HMH, Tibbi road, Hanumangarh Town ",HANUMANGARH,335513,TRUE
SD29,HAPUR,"village bhovapur, reliance road hapur",HAPUR,245101,TRUE
HALDIYA,HARRSHIV HEALTHY FOODS 7 MORE,"KH NO 100/5, VD DHARGAON, NAGPUR, 4",NAGPUR,,TRUE
600124,HERBAL CONCEPTS,"PLOT NO. 2,SECTOR 1A, INTEGRATED INDUSTRIAL ESTATE ,SIDCUL, 249403",HARIDWAR,249403,TRUE
60400242,HERSHEY INDIA PRIVATE LIMITED,BHOPAL,BHOPAL,,TRUE
10178928,HITKARI GRAM UDYOG SANGH,"VPO ISMAILLA 18 57 KM STONE DELHI ROHTAK ROAD ROHTAK ROHTAK, Haryana India ph",ROHTAK,124001,TRUE
2015004655,Hoshiarpur trends,"M.B. Towers, Court Rd, Krishna Nagar, Hoshiarpur, Punjab ",HOSHIARPUR,146001,TRUE
Haryana,INDO NISSIN FOODS PRIVATE LIMITED.,"91 KMS, NH-8, Delhi- Jaipur Road , Village Deodhai, Teshi Bawal. Dist: Rewari , Haryana",REWARI,123401,TRUE
PL- KHURDA,INDO NISSIN FOODS PVT LIMITED,"Plot No : A/2 , IDCO Food Processing Park , Khordha Industrial Estate , Khorda , Odisha ",KHURDA,752055,TRUE
10305529,INDOCHEM,"Indo Chem Laboratories ; A-2/2 Industrial Area, Gorwa, Vadodara, Gujarat India ; Mfg Lic No GC/1202 ",VADODARA,390016,TRUE
AF_KRISH_,INDORE,"Krishnendu Enterprises Add: C-2, Shukla Warehouse  Indore, MP 453555",INDORE,453555,TRUE
HAME,Indraprashtha Industrial logistics hub,"Kheda, GUJARAT 387570",KHEDA,387570,TRUE
COCA-COLA,INTERNATIONAL REFRESHMENTS PRIVATE LIMITED,B-400 ARMAN LOGISTICS PARK KERALA VILLAGE BAVLA AHMEDABAD,BAVLA,32220,TRUE
225540787,ITALICA INTERNATIONAL,"PLOT NO.28, SECTOR-17, HSIIDC, BAHADURGARH, HARYANA ",BAHADURGARH,124507,TRUE
221348336,J N SODAGAR HOSIERY,"B-5 583,575 AND 577,  WAIT GANJ, LUDHIANA PUNJAB, 141008 ",LUDHIANA,141008,TRUE
60400262,J R FOODS & BEVERAGES,NAVSARI,NAVSARI,,TRUE
32000837,Jain Shwetamber,"Moorti Kala Kendra, 1975, 4TH CROSSING KHANJANE WALON KA RASTA, CHANDPOL JAIPUR Rajasthan ",JAIPUR,302001,TRUE
20001741,Jainam Invamed Pvt. Ltd.,"111/112, Shubh Industrial Estate, Near Chinchpada Bus Stop, Waliv Road, Vasai East – 401208, Palghar, Maharashtra, ",PALGHAR,103230,TRUE
JDPL,JAIPUR DESIGNS,"JAIPUR DESIGNS PVT LTD H-11, RIICO INDUSTRIAL AREA MANSAROVER ",JAIPUR,302020,TRUE
PL-GO'GARH,"JALLAN FOOD PRODUCTS, GOVINDGARH","KHASRA NO. 1566/2, VILLAGE DHOBLAI, GOVINDGARH ",JAIPUR,303718,TRUE
JANAK LUDH,JANAK SONS KNITWEAR PVT LTD,"VILLAGE MEHARBAN, RAHON ROAD, LUDHIANA -  PUNJAB, INDIA   ",LUDHIANA,141007,TRUE
32605049,JAYESH FURNITURE MART SANKHEDA,"162, BAZAR ROAD SANKHEDA, DISTT VADODARA GUJARAT ",VADODARA,391145,TRUE
10037115,Jeetmal Lakhmichand,Krishi Upaj Mandi,ASHTA,466116,TRUE
10023414,Jewel Consumer Care Pvt Ltd," Jewel Consumer Care Pvt Ltd Subhaag B 15 16 Ramin Park Old Padra Road Vadodara, Gujarat",VADODARA,390020,TRUE
SKDU,Jhajjar,"Reliance Retail Limited,  Jhajjar Rewari Ro, Nh 71 New Nh 352 Chainage Rd 401 370 ,  Village Ghijarod Jhajjar  ",JHAJJAR,124103,TRUE
32000768,JIYA WOODS FURNITURE,"OM SHANTI COMPLEX, NEAR LLDC BHUJ-BACHAU HIGHWAY, OPP. ANCHOR CO VILL. AJRAKHPUR, BHUJ, KUTCH GUJARAT ",BHUJ,370105,TRUE
T5OB,Jodhpur Basni,"Plot No B8 C9 and 10 A,Industrial Area Phase 1,Basni,Jodhpur RAJASTHAN",JODHPUR,342005,TRUE
JRV NOIDA,JRV INDUSTRIES LLP,"INDUSTRIAL PROPERTY, B-6 2ED FLOOR, SEC-88, GAUTAM BUDDHA NAGAR, NOIDA, UTTAR PRADESH   ",NOIDA,201305,TRUE
KB CREATIO,K. B. CREATION,Individual or Proprietor  RAM GOPAL CHHIPA PALOWALON KA BAGH NEAR SAINI MISTHAN BHANDAR SANGANER,JAIPUR,302029,TRUE
30312412,KAILASH FAB PRINT,"PLOT NO.-2, SERVE NO. 112PA, YAS WAY BRDG., STREET, DHORAJI ROAD , JETPUR",JETPUR,360370,TRUE
NASIK,KALWAN,"Reliance Retail Ltd, Girnar CC, Near BPCL Petroleum pump, Dugaon, Nashik",NASIK,422003,TRUE
30403412,KALZADO INITIATIVES LLP,"CENTRAL, HOPE TOWN KHASRA NO 323 MI TEHSIL,  VIKAS NAGAR, SELAQUI SARA INDUSTRIAL ESTATE,  DEHARADUN ",DEHRADUN,248197,TRUE
60400396,KANCHRATAN PACKAGING PRIVATE LIMITED,INDORE,INDORE,452010,TRUE
PL,KANPUR EDIBLES (P) LTD,MAYUR HOUSE KANPUR,KANPUR,209304,TRUE
KANPUR,"KANPUR EDIBLESS PRIVATE LIMITED,","GATE NO.190.201.RANIA, Akbarpur tahsil. Kanpur dehat, UP",KANPUR,209304,TRUE
32180539,KANSAWALA,"VANA GIGA NO KHANCHO, SURVEY NO.465, KANSARA BAZAR, BHUTA VADI, SIHOR BHAVNAGAR GUJARAT",BHAVNAGAR,364240,TRUE
AGRA,KAPOOR OVERSEAS,"1/132/1, FIRST FLOOR, SYED ALI NAVI, SHAHGANJ ROAD, AGRA",AGRA,282010,TRUE
KARANJA,"Karanja Lad, Washim","Buldhana Urban WH Nagpur Highway Raod, Sawarkar Chowk Karanja Lad Dist. Washim - ",Karanja,444105,TRUE
KASHYAP,KASHYAP FOOTWEAR INDUSTRIES,"C-96 EPIP Export Park Shastripuram Sikandra, Agra",AGRA,282007,TRUE
